#{"t_start": 1733941787.7830412, "env_id": null}
r,l,t
-993.5,380,1.538876
-998.0,315,1.562951
-995.1,379,1.591547
-983.2,405,1.621177
109.7,205,1.639244
-988.6,276,1.660306
100.6,8,1.660306
-998.2,340,1.686392
-983.7,713,1.742141
-979.2,363,1.768744
-997.3,470,1.803324
128.4,284,1.824911
-995.1,370,1.854215
-983.5,418,1.886367
-990.5,340,1.910818
111.3,188,1.925335
-991.4,295,1.949894
-1000.0,485,1.985296
-992.2,368,2.012475
100.0,1,2.012475
-961.4,547,2.06667
-998.2,392,2.096265
-997.2,364,2.123869
-989.3,399,2.154468
-996.3,378,2.185209
-996.7,293,2.206765
-979.2,396,2.236971
-993.0,295,2.258343
-985.8,284,2.282355
-987.5,387,2.312573
-993.3,362,2.34012
-980.8,628,2.387679
111.9,125,2.401193
-986.3,380,2.435243
-999.3,271,2.45981
-989.0,484,2.500947
-990.9,363,2.53011
100.0,1,2.531106
-975.3,735,2.584866
-999.9,316,2.609018
-987.0,427,2.642596
-996.0,264,2.661662
112.5,555,2.702721
-993.8,290,2.724894
113.2,198,2.742959
-996.7,312,2.76602
-984.4,297,2.787623
-977.9,531,2.827265
-999.3,403,2.858982
-993.5,433,2.891578
-986.3,314,2.914161
-991.1,318,2.938766
-989.3,327,2.966424
100.0,1,2.967333
-976.1,408,3.001881
112.3,129,3.011901
-989.5,456,3.048372
-978.5,438,3.082942
-991.2,378,3.113977
-999.0,315,3.141516
-996.3,265,3.169059
-985.2,297,3.193099
-992.8,274,3.217182
-998.1,342,3.250776
110.1,151,3.267096
-983.7,338,3.292244
-1000.0,273,3.312839
-999.6,438,3.344445
-996.6,317,3.371708
123.1,243,3.389784
-989.9,359,3.415388
-980.0,346,3.440973
-979.3,424,3.474583
-993.6,326,3.499141
-993.0,337,3.523746
-988.8,316,3.547335
-983.0,543,3.590049
-979.6,407,3.620186
127.2,275,3.640245
-983.3,746,3.69489
-985.4,359,3.724288
-998.9,368,3.751505
-983.7,478,3.786618
109.5,110,3.794633
-1000.0,291,3.81871
-984.9,681,3.871371
-998.4,418,3.9029
-999.6,322,3.932597
-987.5,292,3.958002
-1000.0,469,3.999187
-986.3,352,4.02673
-989.4,312,4.052768
-993.3,274,4.074835
125.1,322,4.099433
-995.8,303,4.122356
-1000.0,284,4.143635
-979.8,378,4.173585
-982.5,281,4.194549
-983.0,354,4.220688
-996.6,294,4.242756
-994.5,399,4.274205
-992.3,355,4.300943
-982.3,318,4.32455
-983.7,298,4.347146
-985.6,319,4.374207
-1000.0,283,4.39674
-997.9,311,4.421288
-993.0,418,4.45383
-988.8,456,4.49009
-998.5,379,4.518167
-980.7,520,4.556168
-996.9,284,4.577577
-971.2,572,4.622164
-981.7,348,4.650783
120.8,217,4.666799
-999.7,263,4.689854
-1000.0,382,4.729437
-999.9,539,4.780084
107.9,80,4.787615
-995.5,273,4.813215
-989.4,367,4.850339
106.2,91,4.85693
-986.1,366,4.884111
-995.6,357,4.909707
-991.5,276,4.933107
-995.2,354,4.959693
117.5,229,4.976741
-998.3,320,4.999834
-989.5,429,5.033961
-992.9,453,5.067069
-999.6,286,5.089138
-993.3,268,5.108202
-983.6,321,5.134672
-983.6,259,5.153626
-963.6,857,5.216728
-991.2,297,5.238811
-999.5,380,5.269113
-997.5,292,5.291145
-1000.0,455,5.326261
-990.2,364,5.353847
-992.5,407,5.392185
-982.9,353,5.418311
-992.5,368,5.446376
-978.5,359,6.262039
-983.7,304,6.572807
-996.1,254,6.822099
-992.6,297,7.128406
-989.7,277,7.397696
-990.4,327,7.72129
100.0,1,7.722296
-995.2,222,7.943233
-990.1,303,8.247257
101.4,17,8.266294
-994.0,255,8.513789
-1000.0,251,8.760998
-991.4,428,9.190845
-997.2,250,9.429869
-983.3,443,9.88297
-987.5,270,10.153072
-995.4,308,10.435127
-998.3,276,10.71016
117.7,179,10.875381
-978.9,413,11.290532
-988.7,271,11.551152
-989.5,305,11.879505
-992.9,262,12.16231
100.0,1,12.16231
-989.6,384,12.741105
-993.5,360,13.259899
-976.5,354,13.842289
-999.9,305,14.244486
-982.9,320,14.731169
116.7,214,15.128024
114.4,159,15.342199
-980.7,298,15.78633
-999.2,304,16.209688
-994.4,266,16.629178
-984.6,327,17.277344
-990.4,369,17.756111
121.8,220,18.041026
-995.6,281,18.519742
-986.5,331,18.91629
-985.1,438,19.488072
-988.6,258,19.770564
-985.2,293,20.126952
-986.1,331,20.436521
-994.7,287,20.717809
-992.8,285,21.058322
-992.1,246,21.432832
-987.2,288,21.804467
-987.4,322,22.215299
-988.6,284,22.589029
-995.9,260,22.97346
-988.8,422,23.53142
-984.7,440,24.002456
111.1,145,24.137601
125.2,395,24.521422
-988.8,267,24.908283
106.4,65,25.001528
-986.2,279,25.325017
-986.3,289,25.755049
108.4,85,25.882123
-987.6,235,26.268424
-991.3,316,26.743215
112.2,123,26.920707
119.4,194,27.214465
113.1,149,27.373391
-984.1,330,27.808127
-987.2,246,28.196998
-988.2,246,28.529251
-987.5,330,29.06332
-993.7,369,29.634282
-999.3,311,30.127336
-985.7,303,30.570739
-990.9,410,31.15469
-987.5,324,31.554818
-997.0,290,31.93634
-985.0,285,32.285985
-989.3,240,32.631692
-972.7,402,33.160736
118.3,186,33.371624
113.6,141,33.53337
118.1,182,33.747092
-983.8,273,34.033515
-991.3,220,34.274466
-992.9,224,34.55021
-989.8,297,34.966107
-973.5,432,35.569478
-982.7,294,35.97403
-987.1,261,36.387979
-992.2,400,36.96078
-994.1,326,37.367703
-996.5,331,37.760477
116.2,164,37.979758
-987.3,239,38.359957
-978.8,418,38.963937
-984.4,315,39.421771
-992.6,231,39.954275
-995.9,275,40.598205
-996.5,267,40.952451
121.7,218,41.253869
-991.1,433,41.849033
116.1,161,42.072182
-986.6,311,42.464982
-995.0,244,42.736832
-976.0,480,43.253289
-980.4,319,43.60123
-998.1,268,43.897354
-985.3,390,44.39478
111.5,117,44.603446
105.3,55,44.752312
-991.6,342,45.450566
-993.3,241,45.921115
-999.2,379,46.76212
-992.1,242,47.2572
-981.1,306,47.806321
-983.7,341,48.389776
-992.1,415,49.082806
-987.8,269,49.464224
-990.5,301,49.948709
111.6,116,50.119541
115.7,158,50.307319
-975.4,379,50.778819
-991.2,271,51.091954
-990.2,246,51.37653
-984.7,290,51.726707
108.9,90,51.837805
-988.4,289,52.206594
-983.7,474,52.807213
-982.2,377,53.313544
-989.8,298,53.646437
120.2,211,53.888054
-985.0,265,54.213014
-988.2,242,54.484413
-975.7,379,54.956858
110.0,101,55.080657
-984.1,258,55.40331
-984.2,504,56.047676
-991.9,377,56.474189
105.8,58,56.544854
-983.1,275,56.870792
110.9,110,56.990946
-993.2,221,57.256161
-984.4,319,57.640542
-986.5,259,57.969244
-985.9,236,58.243174
-985.6,237,58.519386
100.1,1,58.520402
-993.1,264,58.87444
-981.5,377,59.326058
100.1,1,59.330067
119.3,193,59.549774
-979.4,422,60.096752
-986.0,267,60.436737
-989.5,244,60.769105
111.0,110,60.906566
111.3,344,61.34976
-987.2,255,61.68246
-985.4,256,62.012039
-994.8,291,62.368456
-983.8,314,62.780918
113.0,130,62.94624
-995.2,290,63.333779
-995.1,291,63.718561
112.3,179,63.960108
109.5,95,64.098564
-991.7,245,64.435226
-993.4,250,64.753933
-979.0,416,65.255012
-996.5,303,65.597485
-988.4,261,65.900473
-986.5,299,66.392364
-984.6,342,66.96607
-985.9,381,67.473461
-987.6,310,67.993439
100.1,1,67.993439
-986.3,275,68.396892
-984.2,375,68.909622
-986.3,336,69.42887
-989.1,275,69.926377
-984.7,308,70.368188
-979.4,319,70.854537
112.9,130,71.063601
-988.2,256,71.43647
-980.2,322,72.107748
109.7,98,72.256653
102.8,28,72.298728
-973.7,565,73.653904
-979.9,322,74.508704
109.4,102,74.661182
-995.8,438,75.389422
107.6,77,75.499274
-987.2,268,76.073272
-994.3,303,76.526792
100.0,1,76.526792
-995.3,205,76.893596
113.5,139,77.16604
115.1,151,77.523595
-994.5,410,78.206065
-980.3,317,78.829613
100.1,1,78.833619
-990.2,241,79.189679
-984.1,366,79.691581
-993.4,290,80.071662
-997.3,268,80.429268
-984.5,359,80.971838
-990.9,309,81.35935
-987.5,241,81.647132
-986.4,260,81.976292
-986.6,286,82.309876
112.7,127,82.455091
117.3,177,82.668738
-987.5,295,83.023459
103.2,32,83.060522
-987.0,291,83.39783
-990.5,261,83.709409
-985.0,256,84.046052
-976.9,358,84.522659
-984.2,250,84.824344
100.0,1,84.824344
111.0,111,84.954611
112.2,122,85.099227
-991.4,292,85.442427
-986.0,308,85.810057
-979.7,325,86.193418
-984.5,297,86.533275
-996.2,207,86.772295
-989.7,258,87.088059
-975.0,373,87.608221
-979.6,337,88.024672
-989.1,341,88.446973
102.1,22,88.470006
-989.1,235,88.766319
-982.5,344,89.182983
120.4,204,89.433388
-989.5,228,89.700213
-987.0,227,89.993605
100.1,1,89.994665
-987.4,227,90.264549
117.4,175,90.480077
-976.2,478,91.074742
-994.1,216,91.34418
-986.0,252,91.644693
-986.3,314,92.017535
-976.9,367,92.447864
103.5,35,92.50001
-989.1,240,92.812086
-986.9,247,93.13417
-987.6,251,93.490202
-985.1,253,93.844223
-986.1,242,94.17169
-987.1,243,94.540901
-992.2,281,94.933167
115.2,154,95.186206
-981.9,322,95.636597
-998.9,272,95.986457
-988.3,371,96.496436
100.0,1,96.496436
-981.3,402,96.987711
-985.7,260,97.297097
111.9,119,97.446026
-993.7,328,97.823044
-989.4,212,98.060681
117.4,399,98.542554
100.0,1,98.550136
-991.3,405,99.026764
-988.2,451,99.564396
-985.6,264,99.885133
112.8,128,100.041609
-968.4,611,100.777236
-992.3,251,101.09424
-984.5,287,101.458127
-984.2,299,101.794825
114.4,145,101.963198
-980.9,285,102.29534
-991.3,220,102.554671
113.1,132,102.716847
-985.7,241,103.008603
-974.6,540,103.942517
114.8,151,104.155282
106.5,65,104.257028
-989.3,259,104.60239
115.8,162,104.94803
-988.2,222,105.266734
-989.7,215,105.553547
122.2,259,105.873829
-992.6,240,106.164245
102.4,29,106.191373
111.9,122,106.341166
114.7,148,106.511034
102.9,39,106.563236
104.7,56,106.625378
110.4,105,106.756302
112.1,124,106.904188
-988.9,208,107.153298
-984.9,249,107.458147
-984.7,267,107.824069
109.0,94,107.938412
118.9,217,108.209664
122.8,344,108.648497
-990.6,221,108.962081
-986.1,271,109.349636
-983.4,355,109.847409
-987.4,246,110.164069
115.2,159,110.373508
112.7,128,110.541421
-985.8,371,111.040357
-984.6,330,111.502251
105.0,102,111.6471
-985.2,285,112.028154
-991.2,280,112.437572
-992.4,285,112.78211
107.7,77,112.884199
-985.0,384,113.356087
114.7,147,113.528623
114.8,150,113.706527
-993.5,223,113.986435
-985.4,262,114.30125
100.1,1,114.30225
109.7,98,114.429113
-994.0,193,114.691222
119.6,200,114.983264
111.7,117,115.13893
-986.0,242,115.442348
106.2,63,115.526227
-986.7,245,115.826818
112.0,128,115.970568
113.1,131,116.136164
-985.4,268,116.478285
114.3,144,116.648084
-977.1,362,117.08525
105.4,55,117.153053
107.4,74,117.23606
-993.7,208,117.501871
-991.5,262,117.813093
-987.8,297,118.179322
113.9,139,118.357983
-994.9,220,118.624375
108.6,91,118.732321
-992.4,211,118.987055
-975.2,449,119.603206
103.0,30,119.637431
-992.3,354,120.073534
121.4,214,120.33084
-994.8,324,120.709657
112.1,122,120.869426
-982.2,351,121.289953
-997.4,211,121.592347
-991.3,231,121.921223
109.3,97,122.024271
110.2,102,122.148843
117.6,250,122.490556
-992.1,224,122.756313
-975.2,427,123.296291
110.5,106,123.425122
114.9,150,123.599345
103.9,39,123.650519
-993.0,228,123.932569
115.1,151,124.116149
-981.8,372,124.608626
112.6,127,124.784251
-979.3,322,125.222846
100.1,1,125.222846
-974.8,429,125.816444
110.1,102,125.968867
110.4,106,126.10103
-983.3,262,126.468056
110.7,109,126.616248
112.3,124,126.786276
-985.0,407,127.341183
-983.7,299,127.753845
109.0,91,127.877859
-992.1,199,128.157195
109.5,98,128.298429
-990.6,208,128.569862
-984.2,306,128.976038
104.8,50,129.041244
-982.4,404,129.5427
-990.8,249,129.86105
-984.8,235,130.148247
112.4,125,130.302888
115.4,160,130.521403
112.1,121,130.686242
107.9,82,130.787977
-979.1,360,131.291278
-996.3,265,131.646632
109.3,93,131.763455
112.1,121,131.918901
-988.7,223,132.199021
113.4,134,132.367496
-976.6,417,132.896666
-992.3,224,133.152064
-990.0,259,133.464727
-982.1,283,133.814667
112.6,126,133.975173
112.0,128,134.134935
-990.4,244,134.427021
-989.1,235,134.709583
110.6,107,134.832279
-996.0,343,135.251271
115.1,151,135.454526
104.1,42,135.502146
-985.8,406,135.996143
-983.7,409,136.495452
113.1,131,136.651124
115.2,154,136.834548
100.1,1,136.834548
-985.3,251,137.13963
100.1,1,137.144143
115.0,151,137.328515
-971.6,502,137.985242
100.1,1,137.986769
-989.2,394,138.484577
-995.5,220,138.782653
105.2,52,138.856005
113.5,138,139.608921
-987.5,222,139.889674
106.3,63,139.968262
100.1,1,139.969262
-989.3,348,140.395978
114.6,190,140.666233
111.6,117,140.828161
-994.1,229,141.137104
112.1,121,141.308878
-991.3,302,141.754086
-988.1,357,142.349064
-991.3,298,142.756285
-990.9,253,143.088197
100.1,1,143.092201
-992.7,211,143.390939
110.8,108,143.535212
-984.7,352,144.022718
-977.7,392,144.61291
110.2,103,144.755296
114.2,237,145.066622
-990.6,245,145.376896
113.6,136,145.562306
-982.5,298,145.978184
106.2,62,146.059197
-990.4,246,146.378574
