#{"t_start": 1733943896.3583431, "env_id": null}
r,l,t
-994.85,208,3.361953
-994.6,213,6.796899
-998.8,188,9.627866
-998.1,189,12.994772
-996.3,204,16.779503
-998.0,199,20.57003
-1000.0,162,23.540088
-999.85,158,26.171155
-999.9,155,28.857879
-1000.0,165,31.584651
-995.5,196,34.730726
-999.85,184,37.984317
100.05,1,38.00735
-999.3,165,40.592917
-997.4,200,43.663373
-1000.0,160,46.137758
-996.1,214,49.415856
-995.4,197,52.822809
-1000.0,265,57.04269
-1000.0,214,60.278254
-999.85,204,63.297018
-999.9,198,66.59328
-1000.0,166,69.555579
-998.9,230,73.201157
-996.1,186,76.032039
-997.0,183,78.767857
-1000.0,154,81.304874
-998.95,226,85.157944
-1000.0,165,87.666732
-999.75,219,91.018281
-999.65,215,94.381445
-995.35,206,97.564384
104.25,93,99.701
-1000.0,161,102.878585
-999.95,229,107.119752
-1000.0,157,110.152391
-1000.0,185,113.46484
-998.05,298,119.598189
-997.55,342,126.722558
-999.75,199,131.253156
-995.45,196,135.280392
-993.2,289,140.278562
-994.45,222,144.057225
-996.9,183,147.480166
-990.15,369,154.277864
-999.8,176,157.28723
-996.75,177,161.141986
-999.65,183,164.816764
-999.7,188,168.411505
-996.25,173,171.453873
-995.8,190,174.897345
-999.6,209,178.574205
-998.05,164,182.277771
-996.35,191,185.8919
-999.45,271,191.584338
-997.9,214,195.893843
-999.75,201,200.064211
-1000.0,173,203.899816
-997.2,174,207.860883
-1000.0,160,210.831042
-995.8,186,215.362402
-997.9,164,219.215092
100.05,1,219.232131
-999.05,168,222.255665
-996.95,181,225.707649
-997.7,201,230.597043
-999.75,194,234.16668
-999.6,164,237.128399
-997.25,184,240.372483
-997.05,177,243.564214
100.05,1,243.583262
100.05,1,243.604826
-997.15,178,247.025034
-999.7,206,250.565408
103.15,63,251.626824
-999.0,205,255.203174
-999.95,160,258.044553
-999.75,253,263.789831
-993.85,242,268.040468
107.6,162,270.860904
-999.95,159,273.73928
-998.45,206,277.805201
-995.85,495,286.417944
-998.95,162,289.235626
-999.7,166,293.013513
-997.1,169,296.177742
-999.9,209,299.845408
-995.85,360,306.732623
-992.8,450,315.196973
-999.9,209,319.593966
106.25,197,323.728417
-999.85,232,328.275096
-999.85,369,335.686145
-999.85,242,341.017227
-997.5,152,344.826096
-999.85,216,349.476366
-999.95,180,353.332309
-997.5,147,357.203083
-999.6,348,364.893616
-1000.0,183,368.484382
-996.65,175,371.923774
-999.85,242,376.420794
-999.95,345,383.290801
103.45,70,384.55197
-996.85,335,390.931772
-999.75,167,394.020366
-997.6,173,396.95506
-1000.0,190,400.423328
103.3,66,401.576829
-999.85,158,404.63792
-999.75,169,408.296565
107.1,262,412.900183
-997.0,171,415.859312
-998.15,186,419.360696
-999.6,196,423.026752
104.4,88,424.58417
-999.7,176,427.744893
-999.65,169,430.665383
-997.15,171,433.624216
-996.1,270,438.833792
-997.25,172,441.906847
-996.3,182,445.050093
-999.45,198,448.595275
-997.1,177,451.887507
-997.75,281,457.242504
-994.7,236,460.8397
-996.7,241,464.779868
-999.05,160,467.143388
104.7,106,468.836954
-996.85,182,471.40637
-997.2,175,473.893498
-996.95,224,476.911195
-999.4,183,479.467106
-994.55,253,483.379414
-995.75,238,486.99285
-999.75,188,489.758085
-998.95,158,491.951217
-995.2,210,494.874741
-999.0,331,499.879596
-999.8,192,502.995064
-997.75,170,505.531831
-994.2,229,508.872952
-999.7,252,512.366136
102.1,48,513.097733
-997.35,168,515.771164
100.05,1,515.789702
-999.35,171,518.545274
-999.6,204,521.376014
-993.95,236,524.66066
-993.6,230,527.971521
-998.15,295,532.577944
-999.35,164,535.13637
-997.4,254,538.683105
-997.5,163,540.92493
100.05,1,540.938447
-996.6,188,543.633849
-995.9,195,546.570948
-999.75,187,549.592304
-997.7,338,554.354769
-999.65,295,558.31417
103.35,92,559.639591
-994.05,299,564.309478
-996.0,264,568.153564
-997.0,331,573.932682
-999.85,185,576.783044
100.05,1,576.796558
-997.0,170,579.514777
-1000.0,199,582.674755
-999.75,196,585.454368
-999.95,270,589.290129
100.05,1,589.302659
-995.0,279,593.153396
-994.3,288,597.874633
-997.4,274,601.618601
-995.5,202,604.43578
-995.7,220,607.383059
-1000.0,197,610.205169
100.05,1,610.222199
-998.95,146,612.590099
-993.7,255,616.389604
-998.95,145,618.366504
-999.75,205,621.202276
105.15,154,623.294329
104.85,111,625.04798
-996.7,260,629.177887
-1000.0,247,632.935759
101.1,69,633.901343
-1000.0,190,636.647146
-997.55,287,640.63108
-993.6,314,645.711421
-998.85,151,647.817803
-995.45,313,652.235661
-995.95,296,656.37334
107.45,230,659.903013
-998.85,163,662.562867
-999.35,177,665.044286
-997.25,288,669.146227
-995.95,337,673.83668
106.5,186,676.912092
108.0,198,679.866379
-994.6,396,685.368191
-997.85,240,688.681275
-995.9,313,693.590688
-1000.0,202,696.443909
-989.3,496,703.173467
-994.65,421,709.780339
103.4,69,710.717174
-997.6,276,714.559194
-986.3,658,724.234138
-1000.0,171,726.800659
-994.85,216,729.771536
-995.0,229,733.068032
-994.75,312,737.256013
-990.05,535,745.475314
-999.95,199,748.32552
-1000.0,177,750.949195
-988.5,602,760.935433
-993.85,251,764.734334
-1000.0,177,767.162329
-992.7,316,771.911173
103.45,69,773.051132
-996.6,382,778.611746
-999.95,233,781.687856
-1000.0,200,784.339383
-1000.0,229,788.054009
-990.85,556,795.948127
-1000.0,253,799.511544
-993.8,345,804.671288
-994.7,375,809.927514
106.9,252,813.600747
-992.0,522,821.42603
104.7,188,823.911438
-996.95,292,827.983471
-994.3,363,833.818122
100.05,1,833.83616
-995.0,361,839.273317
-995.8,280,843.19926
-994.35,703,853.33446
-993.15,374,858.724156
103.55,84,859.911717
-992.0,419,865.457778
-992.3,465,872.529266
-994.0,500,879.311754
-994.85,520,887.18446
-993.8,495,893.867926
-990.15,484,901.015187
-993.05,412,906.921913
-993.95,454,913.230477
-993.95,377,918.921591
-997.15,329,923.549902
101.9,38,924.057157
-995.85,332,928.50743
102.65,56,929.273765
-991.0,365,935.253829
-995.2,510,942.238394
-992.1,567,950.625635
113.6,590,958.467087
100.0,1,958.480129
-991.65,437,965.163352
-998.4,279,969.151387
-1000.0,320,973.465692
-995.8,192,976.30335
-998.2,293,980.787193
-996.45,190,983.516143
-988.25,465,989.911276
-996.25,398,995.820611
-1000.0,295,1000.157705
-994.5,526,1007.432182
-989.15,728,1018.143109
-998.95,293,1022.245679
-992.75,346,1027.117602
-996.6,184,1030.196373
-992.1,529,1037.234082
-991.15,419,1043.259554
-992.2,348,1048.587719
-999.9,299,1052.638584
-994.3,283,1056.647061
111.6,476,1063.60774
-996.9,180,1065.972725
-996.05,224,1069.089228
-993.0,334,1073.589588
-987.25,713,1084.233009
-998.45,270,1087.984241
-999.95,251,1091.71209
-985.4,748,1102.451967
-982.15,1130,1118.619531
-995.0,651,1128.355363
-996.2,204,1131.285866
-987.75,594,1139.656541
-999.95,243,1143.333083
18.65,1200,1160.486853
-991.7,372,1165.650113
100.0,1,1165.672689
-999.95,247,1169.01782
-996.15,231,1172.410642
-993.55,335,1177.304887
-991.2,546,1184.879342
-993.2,469,1192.138013
-993.85,331,1196.73331
-989.15,573,1204.978443
-999.9,266,1208.853895
-989.9,451,1215.254603
-988.5,576,1223.789338
105.75,203,1226.57584
-989.85,487,1233.319214
-988.15,747,1244.045918
-997.55,347,1248.977972
-989.5,718,1259.24706
29.0,1200,1276.723216
-986.05,683,1286.792348
-999.95,315,1291.240944
107.75,366,1296.088269
-993.15,592,1304.904606
-976.1,1014,1319.572802
-980.8,1060,1334.783335
114.55,447,1341.049388
-990.6,624,1350.260355
25.1,1200,1367.544401
-995.8,285,1371.414139
-977.25,971,1385.326801
-996.7,402,1390.695947
-979.05,1151,1407.323331
-991.1,576,1416.007841
125.85,734,1426.295946
-993.1,381,1432.161961
-981.95,687,1441.742082
-995.45,255,1445.812882
-989.65,560,1453.727278
-990.65,580,1462.415141
31.55,1200,1479.784557
23.85,1200,1497.028967
48.85,1200,1514.438043
-993.3,341,1519.240202
42.05,1200,1536.407554
113.0,508,1544.311098
32.45,1200,1564.780848
33.75,1200,1581.897922
34.8,1200,1599.092185
105.9,158,1601.242697
124.25,895,1614.354088
102.0,41,1614.9579
24.95,1200,1632.293204
131.9,1195,1649.127092
118.6,475,1656.366944
-992.55,444,1662.444463
29.1,1200,1679.591204
105.65,129,1681.33811
120.3,967,1695.290813
105.75,210,1698.411051
120.5,1166,1715.107839
-985.2,458,1721.877046
-979.9,874,1734.654511
104.05,111,1736.185535
29.2,1200,1753.5937
-993.05,431,1759.365761
-993.9,370,1765.290796
32.25,1200,1782.233924
34.15,1200,1799.470288
17.5,1200,1816.863389
19.0,1200,1834.127261
-992.9,609,1842.669308
11.15,1200,1859.952003
